chan,xpos,ypos
1,0.27061,0.25813
2,0.18883,0.2394
3,0.11004,0.2174
4,0.073707,0.18359
5,0.035595,0.13683
6,-2.187e-17,0.089291
7,-0.028292,0.036037
8,0.15945,0.30209
9,0.083862,0.27643
10,0.050145,0.23852
11,-4.8953e-17,0.19987
12,-0.035595,0.13683
13,-0.058411,0.078036
14,0.044058,0.32872
15,-6.9342e-17,0.28311
16,-6.0391e-17,0.24656
17,-8.7824e-17,0.35857
18,-0.050145,0.23852
19,-0.073707,0.18359
20,-0.097709,0.1308
21,-0.044058,0.32872
22,-0.083862,0.27643
23,-0.11004,0.2174
24,-0.12335,0.16655
25,-0.15945,0.30209
26,-0.18883,0.2394
27,-0.1756,0.16852
28,-0.15612,0.11703
29,-0.12367,0.07006
30,-0.089234,0.023191
31,-0.044495,-0.015575
32,-0.27061,0.25813
33,-0.27006,0.17418
34,-0.22865,0.099464
35,-0.1832,0.042556
36,-0.14086,0.0073253
37,-0.091723,-0.035635
38,-0.34659,0.19108
39,-0.33383,0.039461
40,-0.25598,0.0011134
41,-0.19461,-0.022574
42,-0.15112,-0.059346
43,-0.41311,0.15319
44,-0.39898,0.074566
45,-0.31837,-0.081339
46,-0.24052,-0.075603
47,-0.19145,-0.085584
48,-0.45895,0.17222
49,-0.46317,0.03064
50,-0.27341,-0.16219
51,-0.20096,-0.14301
52,-0.15394,-0.11866
53,-0.099452,-0.09574
54,-0.050987,-0.076676
55,5.8045e-18,-0.047397
56,-0.41976,-0.1671
57,-0.33631,-0.19112
58,-0.22492,-0.21452
59,-0.15297,-0.18922
60,-0.10478,-0.15427
61,-0.054807,-0.12811
62,1.1987e-17,-0.097882
63,-0.349,-0.28153
64,-0.25813,-0.2804
65,-0.16624,-0.26054
66,-0.10296,-0.21873
67,-0.04676,-0.18643
68,-0.22108,-0.37388
69,-0.1585,-0.34149
70,-0.093018,-0.29235
71,-0.039316,-0.23611
72,2.5091e-17,-0.20489
73,-0.10679,-0.41491
74,-0.049033,-0.36828
75,3.6897e-17,-0.30129
76,0.039316,-0.23611
77,0.04676,-0.18643
78,0.054807,-0.12811
79,0.050987,-0.076676
80,0.044495,-0.015575
81,5.188e-17,-0.42363
82,0.049033,-0.36828
83,0.093018,-0.29235
84,0.10296,-0.21873
85,0.10478,-0.15427
86,0.099452,-0.09574
87,0.091723,-0.035635
88,0.10679,-0.41491
89,0.1585,-0.34149
90,0.16624,-0.26054
91,0.15297,-0.18922
92,0.15394,-0.11866
93,0.15112,-0.059346
94,0.22108,-0.37388
95,0.25813,-0.2804
96,0.22492,-0.21452
97,0.20096,-0.14301
98,0.19145,-0.085584
99,0.349,-0.28153
100,0.33631,-0.19112
101,0.27341,-0.16219
102,0.24052,-0.075603
103,0.19461,-0.022574
104,0.14086,0.0073253
105,0.089234,0.023191
106,0.028292,0.036037
107,0.41976,-0.1671
108,0.31837,-0.081339
109,0.25598,0.0011134
110,0.1832,0.042556
111,0.12367,0.07006
112,0.058411,0.078036
113,0.46317,0.03064
114,0.39898,0.074566
115,0.33383,0.039461
116,0.22865,0.099464
117,0.15612,0.11703
118,0.097709,0.1308
119,0.45895,0.17222
120,0.41311,0.15319
121,0.34659,0.19108
122,0.27006,0.17418
123,0.1756,0.16852
124,0.12335,0.16655
125,0.3348,0.24755
126,0.22208,0.39445
127,-0.22208,0.39445
128,-0.3348,0.24755
