iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20140401_152314	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		1.541359	-3.886197	0.837564	-2.182267	0.837564	-2.182267	4.180708	-68.365537	2.337478	2.182226	0.209465	1.682623								
20140401_152314	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.837564	-2.182267	1.541359	-3.886197	0.687410	-0.990057	2.337478	-69.002962	2.693003	1.329674	0.260164	0.774338								
20140401_152314	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.687410	-0.990057	0.837564	-2.182267	-1.156432	-0.567691	1.205299	-55.227224	1.812868	0.894817	0.434461	0.588034								
20140401_152314	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-1.156432	-0.567691	0.687410	-0.990057	-0.382219	-0.462787	1.288258	-153.853635	0.902759	0.632886	0.176699	1.068419								
20140401_152314	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.382219	-0.462787	-1.156432	-0.567691	0.374956	-0.580595	0.600219	-129.553598	0.989702	0.539181	0.557594	0.462184								
20140401_152314	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.374956	-0.580595	-0.382219	-0.462787	0.118949	-0.417583	0.691146	-57.145100	0.517207	0.539524	0.467781	0.884794								
20140401_152314	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.118949	-0.417583	0.374956	-0.580595	-0.096321	-0.331739	0.434194	-74.100323	0.518292	0.353944	0.496126	0.464706								
20140401_152314	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.096321	-0.331739	0.118949	-0.417583	-0.013203	-0.339539	0.345439	-106.190733	0.386995	0.302726	0.542256	0.512092								
20140401_152314	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.013203	-0.339539	-0.096321	-0.331739	0.000987	-0.548031	0.339796	-92.226757	0.446735	0.327352	0.599510	0.401247								
20140401_152314	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.120880	-0.134106	-0.070131	-0.056211	-0.170273	-0.112133	0.180544	-132.030742	0.146879	0.105173	0.274901	0.935233								
20140401_152314	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.170273	-0.112133	-0.120880	-0.134106	0.009123	-0.093066	0.203879	-146.633156	0.137028	0.064770	0.031978	0.973238								
20140401_152314	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.070131	-0.056211	-0.075588	-0.151920	-0.120880	-0.134106	0.089878	-141.287570	0.175115	0.109840	0.723219	0.387369								
20140401_152314	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		-0.717147	-1.660760	0.250401	-0.180829	0.250401	-0.180829	1.808985	-113.355579	0.308868	2.244040	0.729935	0.874228								
