iSess	iCond	NTrials	Eye	DomNon	CondNotes	Treatment	Level	iPdm	PdmVer	ViewDist	MeanLum	SweepType	Step	Start	End	ModType	ModInfoName	ModInfo	Fig Phase	Fig Type	Fig Shape	Temp Freq1	Contrast	Pix size	Density1	Diameter1	Dir Mean1	Dir Range1	Displ1	Lifetime1	NPerSide	PctCoher1	Temp Freq2	Density2	Diameter2	Dir Mean2	Dir Range2	Displ2	Lifetime2	PctCoher2	FK_Prc	FK_Sess	PK_Cond
20131119_093014	1	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	  180.000000	    0.000000	     2	   100	  100.000000	0	1	1
20131119_093014	2	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	   45.000000	    0.000000	     2	   100	  100.000000	0	1	2
20131119_093014	3	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	    5.000000	    0.000000	     2	   100	  100.000000	0	1	3
20131119_093014	4	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	    0.000000	   36.00	   10.000000	   28.000000	    0.000000	    0.000000	     2	   100	  100.000000	0	1	4
20131119_093014	5	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	    0.000000	   28.000000	  180.000000	    0.000000	     2	   100	  100.000000	0	1	5
20131119_093014	6	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	  180.000000	    0.000000	    10	   100	  100.000000	0	1	6
20131119_093014	7	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	   45.000000	    0.000000	    10	   100	  100.000000	0	1	7
20131119_093014	8	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	    5.000000	    0.000000	    10	   100	  100.000000	0	1	8
20131119_093014	9	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	    0.000000	   36.00	   10.000000	   28.000000	    0.000000	    0.000000	    10	   100	  100.000000	0	1	9
20131119_093014	10	5	Both	Unkn		None	0.000	MOFO	3	60.000000	39.844000	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	    0.000000	   28.000000	  180.000000	    0.000000	    10	   100	  100.000000	0	1	10
