iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20131119_093014	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		-1.338411	-0.384392	0.361918	-0.784588	0.361918	-0.784588	1.392516	-163.975927	0.864038	0.824034	0.294938	0.824539								
20131119_093014	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.361918	-0.784588	-1.338411	-0.384392	0.287779	0.402488	0.864038	-65.236863	0.943651	0.683849	0.482974	0.556185								
20131119_093014	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.287779	0.402488	0.361918	-0.784588	-0.424383	0.031580	0.494786	54.435272	0.644797	0.265779	0.237004	0.388912								
20131119_093014	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.424383	0.031580	0.287779	0.402488	0.051649	0.280275	0.425556	175.744243	0.389890	0.395676	0.582636	0.558328								
20131119_093014	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.051649	0.280275	-0.424383	0.031580	-0.295657	-0.030882	0.284994	79.558617	0.361411	0.293472	0.640348	0.404078								
20131119_093014	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.295657	-0.030882	0.051649	0.280275	0.121569	-0.041341	0.297266	-174.036924	0.206700	0.227669	0.461751	0.571245								
20131119_093014	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.121569	-0.041341	-0.295657	-0.030882	0.135490	-0.161754	0.128406	-18.781033	0.254134	0.245229	0.873900	0.246966								
20131119_093014	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.135490	-0.161754	0.121569	-0.041341	0.131638	0.117285	0.211002	-50.049505	0.152356	0.166887	0.482542	0.507016								
20131119_093014	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		0.131638	0.117285	0.135490	-0.161754	0.183510	0.104523	0.176307	41.699981	0.211096	0.140097	0.485534	0.423787								
20131119_093014	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.010904	-0.020642	0.008303	0.015719	-0.005782	-0.001540	0.023344	-62.155517	0.011880	0.031109	0.761784	0.380348								
20131119_093014	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.005782	-0.001540	0.010904	-0.020642	0.011890	-0.057008	0.005984	-165.088387	0.040790	0.036376	0.986585	0.077878								
20131119_093014	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.008303	0.015719	-0.023668	-0.069877	0.010904	-0.020642	0.017777	62.155118	0.048561	0.033998	0.874220	0.208862								
20131119_093014	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		-1.283155	0.314835	0.275378	-0.886855	0.275378	-0.886855	1.321215	166.214223	0.928625	0.550279	0.114100	0.869083								
20131119_093014	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.275378	-0.886855	-1.283155	0.314835	0.289313	0.800641	0.928625	-72.749863	1.086262	0.455685	0.187776	0.659753								
20131119_093014	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.289313	0.800641	0.275378	-0.886855	-0.327069	0.106633	0.851310	70.132583	0.636319	0.266525	0.037312	0.762054								
20131119_093014	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.327069	0.106633	0.289313	0.800641	-0.025190	0.195441	0.344012	161.942635	0.524183	0.265864	0.467612	0.430849								
20131119_093014	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.025190	0.195441	-0.327069	0.106633	-0.286985	0.144681	0.197057	97.344331	0.332702	0.178285	0.566396	0.291344								
20131119_093014	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.286985	0.144681	-0.025190	0.195441	0.222487	0.129691	0.321392	153.245494	0.227292	0.202634	0.334982	0.647483								
20131119_093014	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.222487	0.129691	-0.286985	0.144681	0.224333	-0.202599	0.257527	30.238563	0.311835	0.187388	0.428354	0.391635								
20131119_093014	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		0.224333	-0.202599	0.222487	0.129691	0.057015	0.189910	0.302277	-42.085656	0.227906	0.217126	0.419893	0.632567								
20131119_093014	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.057015	0.189910	0.224333	-0.202599	0.047957	0.095510	0.198284	73.289230	0.204576	0.132031	0.370295	0.408129								
20131119_093014	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		-0.098104	-0.012852	-0.106008	-0.017374	0.034203	-0.061759	0.098942	-172.536301	0.089010	0.075349	0.458074	0.757211								
20131119_093014	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.034203	-0.061759	-0.098104	-0.012852	0.010878	-0.100795	0.070598	-61.021574	0.100161	0.026938	0.083810	0.449187								
20131119_093014	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.106008	-0.017374	0.023466	-0.095167	-0.098104	-0.012852	0.107422	-170.692331	0.098480	0.060143	0.261225	0.696777								
20131119_093014	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		-1.252154	-0.396142	0.529732	-0.553759	0.529732	-0.553759	1.313323	-162.444282	0.766332	0.730683	0.257481	0.975524								
20131119_093014	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		0.529732	-0.553759	-1.252154	-0.396142	0.468540	0.954222	0.766332	-46.270364	1.188185	0.363888	0.171304	0.504089								
20131119_093014	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		0.468540	0.954222	0.529732	-0.553759	-0.406798	0.272596	1.063047	63.848165	0.628009	0.366553	0.056474	1.048391								
20131119_093014	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		-0.406798	0.272596	0.468540	0.954222	-0.180714	0.208648	0.489687	146.173882	0.669538	0.228637	0.163174	0.549439								
20131119_093014	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		-0.180714	0.208648	-0.406798	0.272596	-0.253761	0.141228	0.276028	130.896456	0.390050	0.221375	0.491462	0.440101								
20131119_093014	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		-0.253761	0.141228	-0.180714	0.208648	0.316812	0.210062	0.290413	150.902311	0.328077	0.211243	0.428124	0.521809								
20131119_093014	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		0.316812	0.210062	-0.253761	0.141228	0.283373	-0.328181	0.380126	33.546317	0.362003	0.222903	0.289302	0.557819								
20131119_093014	1	0	hc003-Avg	8	9.600000	8	0	8F1	1	0		0.283373	-0.328181	0.316812	0.210062	0.011078	0.153484	0.433593	-49.190545	0.267004	0.205312	0.169937	0.913710								
20131119_093014	1	0	hc003-Avg	9	10.800000	9	0	9F1	1	0		0.011078	0.153484	0.283373	-0.328181	0.112122	0.069793	0.153883	85.871759	0.282831	0.132588	0.536621	0.295336								
20131119_093014	1	0	hc003-Avg	10	36.000000	0	1	1F2	1	0		-0.025776	-0.006198	-0.016957	-0.002682	0.044318	-0.084434	0.026511	-166.480320	0.056263	0.062930	0.915977	0.186689								
20131119_093014	1	0	hc003-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.044318	-0.084434	-0.025776	-0.006198	0.043220	-0.063236	0.095358	-62.305511	0.051553	0.042003	0.136810	0.947663								
20131119_093014	1	0	hc003-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.016957	-0.002682	0.059460	-0.050248	-0.025776	-0.006198	0.017167	-171.012753	0.052180	0.088795	0.981526	0.131781								
20131119_093014	1	0	hc004-Avg	1	1.200000	1	0	1F1	1	0		-1.095239	-0.360335	0.719275	-0.523208	0.719275	-0.523208	1.152992	-161.788754	0.889440	0.801141	0.398129	0.813045								
20131119_093014	1	0	hc004-Avg	2	2.400000	2	0	2F1	1	0		0.719275	-0.523208	-1.095239	-0.360335	0.662305	1.028241	0.889440	-36.032553	1.188037	0.358933	0.102446	0.535924								
