iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151103_113602	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		-0.369855	-3.675998	0.962369	-1.295668	0.962369	-1.295668	3.694557	-95.745395	1.613973	1.184938	0.033520	1.823331								
20151103_113602	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.962369	-1.295668	-0.369855	-3.675998	0.157120	-1.084222	1.613973	-53.396554	2.395052	0.601488	0.066427	0.540369								
20151103_113602	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.157120	-1.084222	0.962369	-1.295668	0.403960	0.030852	1.095547	-81.754382	1.009555	0.358813	0.037128	0.760241								
20151103_113602	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		0.403960	0.030852	0.157120	-1.084222	-1.022891	-0.934762	0.405136	4.367374	1.240610	0.487036	0.715671	0.264335								
20151103_113602	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-1.022891	-0.934762	0.403960	0.030852	-0.296933	0.005136	1.385672	-137.577571	0.351057	0.417764	0.024475	1.278195								
20151103_113602	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		-0.296933	0.005136	-1.022891	-0.934762	0.365876	-0.627736	0.296977	179.009033	1.056126	0.420155	0.783674	0.219778								
20151103_113602	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.365876	-0.627736	-0.296933	0.005136	-0.004291	-0.495131	0.726580	-59.764226	0.396063	0.391203	0.227228	0.741682								
20151103_113602	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.004291	-0.495131	0.365876	-0.627736	0.072455	-0.206071	0.495150	-90.496582	0.472509	0.257099	0.206514	0.554566								
20151103_113602	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		0.072455	-0.206071	-0.004291	-0.495131	0.053676	-0.173029	0.218437	-70.628260	0.338156	0.189907	0.537261	0.402153								
20151103_113602	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.045150	-0.030578	-0.014997	-0.063303	-0.056052	-0.056728	0.054530	-145.892445	0.072402	0.054069	0.616109	0.471065								
20151103_113602	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.056052	-0.056728	-0.045150	-0.030578	-0.042462	-0.076824	0.079749	-134.656316	0.071154	0.031905	0.088317	0.835235								
20151103_113602	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.014997	-0.063303	0.026551	-0.041430	-0.045150	-0.030578	0.065055	-103.328181	0.051869	0.045713	0.397674	0.631954								
20151103_113602	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		-1.362689	-2.362309	0.242037	-1.307785	0.242037	-1.307785	2.727164	-119.978330	1.329994	1.171522	0.114740	1.221660								
20151103_113602	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.242037	-1.307785	-1.362689	-2.362309	0.442216	-1.016758	1.329994	-79.514704	1.917963	0.522394	0.082217	0.558936								
20151103_113602	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.442216	-1.016758	0.242037	-1.307785	0.281597	-0.127363	1.108761	-66.494430	0.819527	0.763110	0.383785	0.667033								
20151103_113602	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		0.281597	-0.127363	0.442216	-1.016758	-0.711303	-0.626901	0.309060	-24.336652	1.028447	0.616255	0.883201	0.231780								
20151103_113602	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.711303	-0.626901	0.281597	-0.127363	-0.058959	0.423040	0.948133	-138.608930	0.368094	0.442536	0.151244	0.910867								
20151103_113602	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		-0.058959	0.423040	-0.711303	-0.626901	0.331053	-0.106863	0.427129	97.934239	0.648003	0.413760	0.602716	0.408327								
20151103_113602	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.331053	-0.106863	-0.058959	0.423040	-0.082334	-0.559982	0.347873	-17.889988	0.496565	0.333106	0.595963	0.373737								
20151103_113602	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.082334	-0.559982	0.331053	-0.106863	0.047938	-0.420195	0.566002	-98.364255	0.385397	0.328033	0.271709	0.681385								
20151103_113602	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.047938	-0.420195	-0.082334	-0.559982	-0.033727	-0.252900	0.422920	-83.491516	0.410571	0.275429	0.346979	0.591216								
