iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20131218_165023	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		1.850630	-1.459725	-1.182418	-1.542093	-1.182418	-1.542093	2.357039	-38.265387	1.943235	0.862301	0.071485	1.103833								
20131218_165023	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-1.182418	-1.542093	1.850630	-1.459725	0.873818	0.234621	1.943235	-127.479618	1.630903	0.629959	0.043519	0.958208								
20131218_165023	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		0.873818	0.234621	-1.182418	-1.542093	-0.022830	0.051111	0.904768	15.029524	0.999607	0.349195	0.087401	0.627016								
20131218_165023	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.022830	0.051111	0.873818	0.234621	0.486617	-0.698513	0.055979	114.069395	0.878035	0.391499	0.989843	0.052491								
20131218_165023	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.486617	-0.698513	-0.022830	0.051111	0.205389	-0.113262	0.851303	-55.137123	0.145263	0.237393	0.021634	0.933348								
20131218_165023	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.205389	-0.113262	0.486617	-0.698513	-0.145945	0.351377	0.234548	-28.874657	0.615892	0.247819	0.654074	0.271939								
20131218_165023	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		-0.145945	0.351377	0.205389	-0.113262	-0.001046	-0.118178	0.380481	112.555573	0.176365	0.416639	0.672570	0.470515								
20131218_165023	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.001046	-0.118178	-0.145945	0.351377	-0.012535	0.182975	0.118182	-90.506918	0.281942	0.357404	0.947147	0.193205								
20131218_165023	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.012535	0.182975	-0.001046	-0.118178	-0.285942	-0.096359	0.183403	93.918879	0.209962	0.143137	0.473950	0.345026								
20131218_165023	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		-0.057620	-0.042294	-0.053382	-0.058277	-0.138189	-0.007924	0.071477	-143.720721	0.108723	0.045581	0.342288	0.375007								
20131218_165023	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.138189	-0.007924	-0.057620	-0.042294	-0.037946	-0.148228	0.138416	-176.717974	0.112242	0.070312	0.205952	0.670241								
20131218_165023	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.053382	-0.058277	-0.069909	-0.084647	-0.057620	-0.042294	0.079031	-132.489637	0.090630	0.045767	0.281618	0.432931								
20131218_165023	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		1.350095	-1.230181	-0.456986	-1.556937	-0.456986	-1.556937	1.826499	-42.339198	1.622618	0.999242	0.247588	0.984379								
20131218_165023	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		-0.456986	-1.556937	1.350095	-1.230181	0.379207	0.789271	1.622618	-106.357813	1.351070	0.365287	0.006926	0.938928								
20131218_165023	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		0.379207	0.789271	-0.456986	-1.556937	0.111693	-0.423966	0.875641	64.337948	1.030525	0.459191	0.223406	0.632585								
20131218_165023	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		0.111693	-0.423966	0.379207	0.789271	0.507823	-0.257861	0.438432	-75.240874	0.722591	0.164432	0.078591	0.407305								
20131218_165023	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		0.507823	-0.257861	0.111693	-0.423966	0.022577	-0.393642	0.569540	-26.920390	0.416360	0.358461	0.333860	0.739597								
20131218_165023	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		0.022577	-0.393642	0.507823	-0.257861	0.082556	0.338942	0.394289	-86.717507	0.459196	0.118657	0.031155	0.503675								
20131218_165023	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.082556	0.338942	0.022577	-0.393642	-0.192007	-0.505201	0.348851	76.311122	0.467373	0.283002	0.498773	0.522140								
20131218_165023	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.192007	-0.505201	0.082556	0.338942	0.325110	-0.063102	0.540457	-110.809812	0.340014	0.314892	0.285347	0.976280								
20131218_165023	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.325110	-0.063102	-0.192007	-0.505201	0.045013	-0.176377	0.331177	-10.984209	0.361244	0.231073	0.400854	0.576645								
20131218_165023	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		0.049066	-0.009294	0.018294	-0.045307	-0.079391	-0.096671	0.049938	-10.725352	0.086977	0.052527	0.651700	0.402615								
20131218_165023	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.079391	-0.096671	0.049066	-0.009294	-0.035680	0.054070	0.125093	-129.394508	0.057360	0.051719	0.111310	1.041444								
20131218_165023	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.018294	-0.045307	0.024922	0.005178	0.049066	-0.009294	0.048861	-68.012091	0.037696	0.059154	0.720815	0.438747								
20131218_165023	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		1.676451	0.323781	-0.105602	-1.162104	-0.105602	-1.162104	1.707432	10.931233	1.166893	0.951325	0.258339	1.323507								
20131218_165023	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		-0.105602	-1.162104	1.676451	0.323781	0.334392	1.010776	1.166893	-95.192267	1.386042	0.442185	0.081692	0.617354								
20131218_165023	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		0.334392	1.010776	-0.105602	-1.162104	-0.139422	-0.354483	1.064653	71.694387	0.773904	0.323349	0.032504	0.924560								
20131218_165023	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		-0.139422	-0.354483	0.334392	1.010776	0.221349	-0.389291	0.380916	-111.470259	0.756237	0.322885	0.526470	0.304998								
20131218_165023	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		0.221349	-0.389291	-0.139422	-0.354483	-0.142033	-0.501119	0.447820	-60.377628	0.450887	0.331383	0.439359	0.519805								
