iSess	iCond	NTrials	Eye	DomNon	CondNotes	Treatment	Level	iPdm	PdmVer	ViewDist	MeanLum	SweepType	Step	Start	End	ModType	ModInfoName	ModInfo	Fig Phase	Fig Type	Fig Shape	Temp Freq1	Contrast	Pix size	Density1	Diameter1	Dir Mean1	Dir Range1	Displ1	Lifetime1	NPerSide	PctCoher1	Temp Freq2	Density2	Diameter2	Dir Mean2	Dir Range2	Displ2	Lifetime2	PctCoher2	FK_Prc	FK_Sess	PK_Cond
20150521_110020	1	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	  180.000000	    0.000000	     2	   100	  100.000000	0	1	1
20150521_110020	2	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	   45.000000	    0.000000	     2	   100	  100.000000	0	1	2
20150521_110020	3	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	    5.000000	    0.000000	     2	   100	  100.000000	0	1	3
20150521_110020	4	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	    0.000000	   36.00	   10.000000	   28.000000	    0.000000	    0.000000	     2	   100	  100.000000	0	1	4
20150521_110020	5	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	    0.000000	   28.000000	  180.000000	    0.000000	     2	   100	  100.000000	0	1	5
20150521_110020	6	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	  180.000000	    0.000000	    10	   100	  100.000000	0	1	6
20150521_110020	7	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	   45.000000	    0.000000	    10	   100	  100.000000	0	1	7
20150521_110020	8	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	    5.000000	    0.000000	    10	   100	  100.000000	0	1	8
20150521_110020	9	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	    0.000000	   36.00	   10.000000	   28.000000	    0.000000	    0.000000	    10	   100	  100.000000	0	1	9
20150521_110020	10	6	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	    0.000000	   28.000000	  180.000000	    0.000000	    10	   100	  100.000000	0	1	10
