iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20150701_155408	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		2.061818	2.231880	-0.501422	-0.005550	-0.501422	-0.005550	3.038484	47.268150	0.501452	0.929128	0.018823	2.638915								
20150701_155408	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		-0.501422	-0.005550	2.061818	2.231880	-0.328520	0.105456	0.501452	-179.365859	1.691757	0.308180	0.297466	0.256126								
20150701_155408	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-0.328520	0.105456	-0.501422	-0.005550	-0.019836	-0.151831	0.345031	162.203239	0.327287	0.347249	0.620639	0.405898								
20150701_155408	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.019836	-0.151831	-0.328520	0.105456	-0.069529	0.244783	0.153121	-97.443095	0.299748	0.331438	0.899503	0.240487								
20150701_155408	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		-0.069529	0.244783	-0.019836	-0.151831	0.292739	-0.161676	0.254466	105.856814	0.243769	0.203240	0.475709	0.453213								
20150701_155408	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.292739	-0.161676	-0.069529	0.244783	0.201508	0.190694	0.334418	-28.911340	0.265950	0.127118	0.060095	0.611738								
20150701_155408	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		0.201508	0.190694	0.292739	-0.161676	-0.205778	0.278731	0.277434	43.420515	0.340440	0.156102	0.240722	0.467798								
20150701_155408	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		-0.205778	0.278731	0.201508	0.190694	0.033071	-0.067199	0.346462	126.437256	0.176165	0.130975	0.058579	1.014936								
20150701_155408	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		0.033071	-0.067199	-0.205778	0.278731	-0.031771	0.080282	0.074896	-63.796648	0.216401	0.128631	0.845784	0.182253								
20150701_155408	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.006122	0.002429	0.032322	-0.000649	-0.008881	0.027926	0.006587	21.639312	0.030817	0.023013	0.959985	0.102827								
20150701_155408	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.008881	0.027926	0.006122	0.002429	-0.000852	0.026541	0.029304	107.642489	0.016571	0.028588	0.602542	0.622123								
20150701_155408	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.032322	-0.000649	0.009447	-0.017032	0.006122	0.002429	0.032329	-1.150298	0.013032	0.021900	0.363250	0.540314								
20150701_155408	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		2.051820	2.113933	-0.603487	-0.108938	-0.603487	-0.108938	2.945959	45.854237	0.613241	0.870930	0.015279	2.255598								
20150701_155408	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		-0.603487	-0.108938	2.051820	2.113933	-0.228925	0.267575	0.613241	-169.767500	1.649050	0.288174	0.140610	0.323316								
20150701_155408	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		-0.228925	0.267575	-0.603487	-0.108938	0.082773	-0.128978	0.352141	130.548853	0.383247	0.277098	0.465702	0.329832								
20150701_155408	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		0.082773	-0.128978	-0.228925	0.267575	-0.025039	0.578824	0.153254	-57.309162	0.465753	0.300108	0.878808	0.208739								
20150701_155408	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		-0.025039	0.578824	0.082773	-0.128978	0.255472	-0.127879	0.579366	92.477011	0.219472	0.270969	0.138342	0.864314								
20150701_155408	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		0.255472	-0.127879	-0.025039	0.578824	0.129898	0.182632	0.285691	-26.590711	0.401741	0.160859	0.241150	0.461516								
20150701_155408	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		0.129898	0.182632	0.255472	-0.127879	-0.257109	0.282555	0.224116	54.577546	0.333857	0.190788	0.517872	0.368286								
20150701_155408	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.257109	0.282555	0.129898	0.182632	0.129295	-0.061289	0.382024	132.300441	0.183601	0.150635	0.070919	1.040120								
20150701_155408	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		0.129295	-0.061289	-0.257109	0.282555	-0.036725	0.088405	0.143086	-25.361911	0.238877	0.154820	0.660632	0.291636								
20150701_155408	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		0.009086	0.013944	0.048091	0.025939	-0.026978	0.032211	0.016643	56.910312	0.048328	0.027959	0.839488	0.223971								
20150701_155408	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.026978	0.032211	0.009086	0.013944	-0.027175	0.040501	0.042016	129.947107	0.032708	0.032377	0.451531	0.728655								
20150701_155408	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.048091	0.025939	-0.003822	-0.014133	0.009086	0.013944	0.054640	28.340999	0.015642	0.023327	0.098787	0.865206								
20150701_155408	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		1.866523	2.148451	-0.743316	-0.329895	-0.743316	-0.329895	2.846006	49.016668	0.813234	0.884935	0.020810	1.630844								
20150701_155408	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		-0.743316	-0.329895	1.866523	2.148451	-0.000972	0.414686	0.813234	-156.067619	1.630347	0.406562	0.172110	0.410657								
20150701_155408	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		-0.000972	0.414686	-0.743316	-0.329895	0.250997	-0.126132	0.414687	90.134332	0.547071	0.275558	0.350082	0.289107								
20150701_155408	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		0.250997	-0.126132	-0.000972	0.414686	0.045498	1.056298	0.280908	-26.680660	0.735982	0.323451	0.692594	0.259235								
20150701_155408	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		0.045498	1.056298	0.250997	-0.126132	0.257559	-0.136692	1.057278	87.533632	0.286246	0.390076	0.052193	1.258808								
20150701_155408	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		0.257559	-0.136692	0.045498	1.056298	-0.000135	0.225241	0.291584	-27.955797	0.641259	0.246078	0.512217	0.335949								
20150701_155408	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		-0.000135	0.225241	0.257559	-0.136692	-0.302366	0.305285	0.225241	90.034287	0.360631	0.255937	0.685969	0.311303								
20150701_155408	1	0	hc003-Avg	8	9.600000	8	0	8F1	1	0		-0.302366	0.305285	-0.000135	0.225241	0.194358	-0.087758	0.429679	134.724790	0.219246	0.208298	0.156025	0.984090								
20150701_155408	1	0	hc003-Avg	9	10.800000	9	0	9F1	1	0		0.194358	-0.087758	-0.302366	0.305285	0.015776	0.103353	0.213252	-24.300490	0.267115	0.188441	0.541877	0.324603								
20150701_155408	1	0	hc003-Avg	10	36.000000	0	1	1F2	1	0		0.028934	-0.001455	0.060069	0.048067	-0.043518	0.056041	0.028971	-2.879248	0.073944	0.041609	0.787977	0.208884								
20150701_155408	1	0	hc003-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.043518	0.056041	0.028934	-0.001455	-0.019116	0.009808	0.070954	127.830995	0.025228	0.056191	0.470010	0.526725								
20150701_155408	1	0	hc003-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.060069	0.048067	-0.000901	-0.062394	0.028934	-0.001455	0.076934	38.666742	0.045686	0.042066	0.223209	0.511337								
20150701_155408	1	0	hc004-Avg	1	1.200000	1	0	1F1	1	0		1.958107	1.749920	-0.655506	-0.527098	-0.655506	-0.527098	2.626101	41.786504	0.841142	0.752381	0.012496	1.303640								
20150701_155408	1	0	hc004-Avg	2	2.400000	2	0	2F1	1	0		-0.655506	-0.527098	1.958107	1.749920	-0.220511	0.361096	0.841142	-141.196944	1.524601	0.430122	0.184418	0.443357								
20150701_155408	1	0	hc004-Avg	3	3.600000	3	0	3F1	1	0		-0.220511	0.361096	-0.655506	-0.527098	0.232654	-0.167609	0.423102	121.411294	0.563942	0.350708	0.500407	0.272330								
20150701_155408	1	0	hc004-Avg	4	4.800000	4	0	4F1	1	0		0.232654	-0.167609	-0.220511	0.361096	0.013730	1.117179	0.286741	-35.769857	0.770183	0.340997	0.708284	0.255201								
20150701_155408	1	0	hc004-Avg	5	6.000000	5	0	5F1	1	0		0.013730	1.117179	0.232654	-0.167609	0.079961	-0.122339	1.117263	89.295879	0.216447	0.415405	0.054163	1.457361								
20150701_155408	1	0	hc004-Avg	6	7.200000	6	0	6F1	1	0		0.079961	-0.122339	0.013730	1.117179	-0.073819	0.075024	0.146152	-56.831250	0.611257	0.255171	0.850325	0.166170								
20150701_155408	1	0	hc004-Avg	7	8.400000	7	0	7F1	1	0		-0.073819	0.075024	0.079961	-0.122339	-0.267659	0.247456	0.105251	134.535988	0.255337	0.273780	0.929128	0.164281								
20150701_155408	1	0	hc004-Avg	8	9.600000	8	0	8F1	1	0		-0.267659	0.247456	-0.073819	0.075024	0.221376	-0.043968	0.364521	137.246105	0.165476	0.224881	0.299993	0.875140								
20150701_155408	1	0	hc004-Avg	9	10.800000	9	0	9F1	1	0		0.221376	-0.043968	-0.267659	0.247456	-0.026072	0.089280	0.225700	-11.233357	0.228765	0.225281	0.615888	0.349289								
20150701_155408	1	0	hc004-Avg	10	36.000000	0	1	1F2	1	0		-0.006350	0.027230	0.023942	0.017911	-0.068019	-0.002970	0.027960	103.126584	0.048992	0.020098	0.403971	0.335997								
20150701_155408	1	0	hc004-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.068019	-0.002970	-0.006350	0.027230	-0.015856	-0.005984	0.068084	-177.499985	0.022454	0.030277	0.115498	0.849645								
