iSess	iCond	NTrials	Eye	DomNon	CondNotes	Treatment	Level	iPdm	PdmVer	ViewDist	MeanLum	SweepType	Step	Start	End	ModType	ModInfoName	ModInfo	Fig Phase	Fig Type	Fig Shape	Temp Freq1	Contrast	Pix size	Density1	Diameter1	Dir Mean1	Dir Range1	Displ1	Lifetime1	NPerSide	PctCoher1	Temp Freq2	Density2	Diameter2	Dir Mean2	Dir Range2	Displ2	Lifetime2	PctCoher2	FK_Prc	FK_Sess	PK_Cond
20151104_181207	1	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	  180.000000	    0.000000	     2	   100	  100.000000	0	1	1
20151104_181207	2	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	   45.000000	    0.000000	     2	   100	  100.000000	0	1	2
20151104_181207	3	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	    5.000000	    0.000000	     2	   100	  100.000000	0	1	3
20151104_181207	4	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	    0.000000	   36.00	   10.000000	   28.000000	    0.000000	    0.000000	     2	   100	  100.000000	0	1	4
20151104_181207	5	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	     2	   100	     2	  100.000000	   36.00	    0.000000	   28.000000	  180.000000	    0.000000	     2	   100	  100.000000	0	1	5
20151104_181207	6	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	  180.000000	    0.000000	    10	   100	  100.000000	0	1	6
20151104_181207	7	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	   45.000000	    0.000000	    10	   100	  100.000000	0	1	7
20151104_181207	8	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	   10.000000	   28.000000	    5.000000	    0.000000	    10	   100	  100.000000	0	1	8
20151104_181207	9	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	    0.000000	   36.00	   10.000000	   28.000000	    0.000000	    0.000000	    10	   100	  100.000000	0	1	9
20151104_181207	10	7	Both	Unkn		None	0.000	MOFO	3	60.306121	40.725254	Fixed	Fixed	5.000000	80.000000	Mot_OnOff_Sqr	Displc	   10.000000	OnOff	Motion	Square	    1.20	   90.000000	    7.000000	   10.000000	    9.000000	    0.000000	    0.000000	    10	   100	     2	  100.000000	   36.00	    0.000000	   28.000000	  180.000000	    0.000000	    10	   100	  100.000000	0	1	10
