iSess	iCond	iTrial	iCh	iFr	AF	xF1	xF2	Harm	FK_Cond	iBin	SweepVal	Sr	Si	N1r	N1i	N2r	N2i	Signal	Phase	Noise	StdErr	PVal	SNR	LSB	RSB	UserSc	Thresh	ThrBin	Slope	ThrInRange	MaxSNR
20151202_175913	1	0	hc001-Avg	1	1.200000	1	0	1F1	1	0		3.275302	-0.032579	0.489070	-1.240506	0.489070	-1.240506	3.275464	-0.569886	1.333433	1.700105	0.198481	1.453281								
20151202_175913	1	0	hc001-Avg	2	2.400000	2	0	2F1	1	0		0.489070	-1.240506	3.275302	-0.032579	-0.408126	0.524546	1.333433	-68.483148	1.970041	0.658525	0.171440	0.478172								
20151202_175913	1	0	hc001-Avg	3	3.600000	3	0	3F1	1	0		-0.408126	0.524546	0.489070	-1.240506	-0.619013	-0.633373	0.664617	127.884908	1.109531	0.486326	0.419833	0.394309								
20151202_175913	1	0	hc001-Avg	4	4.800000	4	0	4F1	1	0		-0.619013	-0.633373	-0.408126	0.524546	0.422738	0.201032	0.885629	-134.343089	0.566361	0.483988	0.228408	0.686175								
20151202_175913	1	0	hc001-Avg	5	6.000000	5	0	5F1	1	0		0.422738	0.201032	-0.619013	-0.633373	0.189963	0.709724	0.468104	25.433271	0.810168	0.404428	0.529925	0.467606								
20151202_175913	1	0	hc001-Avg	6	7.200000	6	0	6F1	1	0		0.189963	0.709724	0.422738	0.201032	-0.024034	-0.082581	0.734707	75.015621	0.277056	0.470501	0.329587	0.902819								
20151202_175913	1	0	hc001-Avg	7	8.400000	7	0	7F1	1	0		-0.024034	-0.082581	0.189963	0.709724	0.042008	0.002237	0.086007	-106.227175	0.388387	0.348518	0.970084	0.117109								
20151202_175913	1	0	hc001-Avg	8	9.600000	8	0	8F1	1	0		0.042008	0.002237	-0.024034	-0.082581	-0.063919	0.107278	0.042067	3.048726	0.105442	0.205229	0.979247	0.070183								
20151202_175913	1	0	hc001-Avg	9	10.800000	9	0	9F1	1	0		-0.063919	0.107278	0.042008	0.002237	0.108929	-0.005646	0.124877	120.787679	0.075571	0.158307	0.738359	0.269679								
20151202_175913	1	0	hc001-Avg	10	36.000000	0	1	1F2	1	0		0.019016	0.027660	-0.008155	0.039805	0.016616	-0.024224	0.033566	55.491609	0.035003	0.024467	0.417222	0.366905								
20151202_175913	1	0	hc001-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.016616	-0.024224	0.019016	0.027660	-0.020909	0.006910	0.029375	-55.552005	0.027794	0.044098	0.804241	0.488154								
20151202_175913	1	0	hc001-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.008155	0.039805	-0.015122	-0.073213	0.019016	0.027660	0.040632	101.577729	0.054162	0.039367	0.600307	0.418548								
20151202_175913	1	0	hc002-Avg	1	1.200000	1	0	1F1	1	0		1.965275	0.971432	0.651021	-1.961451	0.651021	-1.961451	2.192255	26.303100	2.066668	0.897471	0.088769	0.886346								
20151202_175913	1	0	hc002-Avg	2	2.400000	2	0	2F1	1	0		0.651021	-1.961451	1.965275	0.971432	-0.004316	0.514128	2.066668	-71.638596	1.353201	0.565885	0.011284	1.072920								
20151202_175913	1	0	hc002-Avg	3	3.600000	3	0	3F1	1	0		-0.004316	0.514128	0.651021	-1.961451	-0.471924	-0.231336	0.514147	90.481019	1.296121	0.383610	0.433013	0.302758								
20151202_175913	1	0	hc002-Avg	4	4.800000	4	0	4F1	1	0		-0.471924	-0.231336	-0.004316	0.514128	0.114543	-0.163469	0.525575	-153.886059	0.356876	0.528339	0.621613	0.595305								
20151202_175913	1	0	hc002-Avg	5	6.000000	5	0	5F1	1	0		0.114543	-0.163469	-0.471924	-0.231336	0.245302	0.659648	0.199605	-54.980932	0.614678	0.437928	0.902140	0.213675								
20151202_175913	1	0	hc002-Avg	6	7.200000	6	0	6F1	1	0		0.245302	0.659648	0.114543	-0.163469	-0.022992	-0.286387	0.703782	69.601413	0.243457	0.347270	0.170991	1.066254								
20151202_175913	1	0	hc002-Avg	7	8.400000	7	0	7F1	1	0		-0.022992	-0.286387	0.245302	0.659648	-0.259403	-0.049165	0.287308	-94.589987	0.483901	0.424366	0.798583	0.352375								
20151202_175913	1	0	hc002-Avg	8	9.600000	8	0	8F1	1	0		-0.259403	-0.049165	-0.022992	-0.286387	-0.140998	0.098295	0.264021	-169.267943	0.229594	0.375241	0.784617	0.496065								
20151202_175913	1	0	hc002-Avg	9	10.800000	9	0	9F1	1	0		-0.140998	0.098295	-0.259403	-0.049165	-0.054080	0.082736	0.171879	145.118278	0.181432	0.123654	0.408311	0.342051								
20151202_175913	1	0	hc002-Avg	10	36.000000	0	1	1F2	1	0		0.031045	-0.022544	0.053812	-0.031428	0.016760	-0.015977	0.038367	-35.985556	0.042736	0.034661	0.558039	0.482475								
20151202_175913	1	0	hc002-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.016760	-0.015977	0.031045	-0.022544	0.013395	-0.011086	0.023155	-43.630143	0.027877	0.037071	0.825333	0.284103								
20151202_175913	1	0	hc002-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.053812	-0.031428	0.011908	0.011724	0.031045	-0.022544	0.062317	-30.286392	0.027539	0.051826	0.505306	0.734912								
20151202_175913	1	0	hc003-Avg	1	1.200000	1	0	1F1	1	0		2.417352	0.757604	0.815733	-1.400978	0.815733	-1.400978	2.533289	17.401109	1.621161	0.924281	0.054108	1.314979								
20151202_175913	1	0	hc003-Avg	2	2.400000	2	0	2F1	1	0		0.815733	-1.400978	2.417352	0.757604	0.246097	0.574311	1.621161	-59.789476	1.579053	0.562252	0.042498	0.721862								
20151202_175913	1	0	hc003-Avg	3	3.600000	3	0	3F1	1	0		0.246097	0.574311	0.815733	-1.400978	-0.272456	0.255295	0.624817	66.804480	0.997267	0.280562	0.125485	0.460292								
20151202_175913	1	0	hc003-Avg	4	4.800000	4	0	4F1	1	0		-0.272456	0.255295	0.246097	0.574311	0.002512	0.064271	0.373374	136.862446	0.344569	0.553205	0.799677	0.368690								
20151202_175913	1	0	hc003-Avg	5	6.000000	5	0	5F1	1	0		0.002512	0.064271	-0.272456	0.255295	0.463248	0.668317	0.064320	87.761735	0.593272	0.432042	0.988989	0.077831								
20151202_175913	1	0	hc003-Avg	6	7.200000	6	0	6F1	1	0		0.463248	0.668317	0.002512	0.064271	-0.075509	-0.430258	0.813170	55.271998	0.250577	0.394481	0.162215	1.015634								
20151202_175913	1	0	hc003-Avg	7	8.400000	7	0	7F1	1	0		-0.075509	-0.430258	0.463248	0.668317	-0.312202	-0.038700	0.436834	-99.953881	0.563881	0.385459	0.543313	0.522954								
20151202_175913	1	0	hc003-Avg	8	9.600000	8	0	8F1	1	0		-0.312202	-0.038700	-0.075509	-0.430258	0.124553	0.045126	0.314591	-172.933695	0.284655	0.482408	0.811433	0.619202								
20151202_175913	1	0	hc003-Avg	9	10.800000	9	0	9F1	1	0		0.124553	0.045126	-0.312202	-0.038700	-0.094011	0.034639	0.132476	19.915759	0.207390	0.138163	0.642155	0.242292								
20151202_175913	1	0	hc003-Avg	10	36.000000	0	1	1F2	1	0		-0.001667	-0.023662	0.004870	0.020751	-0.002209	-0.074058	0.023721	-94.028746	0.047703	0.043565	0.863786	0.256926								
20151202_175913	1	0	hc003-Avg	11	37.200000	1	1	1F1+1F2	1	0		-0.002209	-0.074058	-0.001667	-0.023662	-0.065768	0.074915	0.074091	-91.708733	0.061704	0.037751	0.188192	0.751501								
20151202_175913	1	0	hc003-Avg	12	34.800000	1	-1	1F1-1F2	1	0		0.004870	0.020751	-0.046902	0.044542	-0.001667	-0.023662	0.021314	76.791151	0.044202	0.034347	0.827351	0.256998								
20151202_175913	1	0	hc004-Avg	1	1.200000	1	0	1F1	1	0		2.628065	1.765303	0.548420	-0.871596	0.548420	-0.871596	3.165915	33.889728	1.029779	0.891920	0.013476	2.126320								
20151202_175913	1	0	hc004-Avg	2	2.400000	2	0	2F1	1	0		0.548420	-0.871596	2.628065	1.765303	0.438663	0.252401	1.029779	-57.821346	1.836005	0.616649	0.285428	0.426349								
20151202_175913	1	0	hc004-Avg	3	3.600000	3	0	3F1	1	0		0.438663	0.252401	0.548420	-0.871596	-0.220388	0.423180	0.506094	29.915580	0.753454	0.342968	0.367698	0.410703								
20151202_175913	1	0	hc004-Avg	4	4.800000	4	0	4F1	1	0		-0.220388	0.423180	0.438663	0.252401	-0.037457	0.030235	0.477129	117.509993	0.277116	0.521343	0.667097	0.450462								
20151202_175913	1	0	hc004-Avg	5	6.000000	5	0	5F1	1	0		-0.037457	0.030235	-0.220388	0.423180	0.498319	0.592005	0.048137	141.089630	0.625473	0.468724	0.994743	0.051228								
20151202_175913	1	0	hc004-Avg	6	7.200000	6	0	6F1	1	0		0.498319	0.592005	-0.037457	0.030235	-0.120328	-0.503283	0.773816	49.911052	0.282802	0.404095	0.201919	0.925252								
20151202_175913	1	0	hc004-Avg	7	8.400000	7	0	7F1	1	0		-0.120328	-0.503283	0.498319	0.592005	-0.395463	0.003260	0.517467	-103.446181	0.584646	0.396218	0.450489	0.597006								
20151202_175913	1	0	hc004-Avg	8	9.600000	8	0	8F1	1	0		-0.395463	0.003260	-0.120328	-0.503283	0.167488	0.124051	0.395477	179.527760	0.362946	0.460160	0.698799	0.753688								
20151202_175913	1	0	hc004-Avg	9	10.800000	9	0	9F1	1	0		0.167488	0.124051	-0.395463	0.003260	-0.143450	0.026283	0.208424	36.525742	0.270657	0.157877	0.443230	0.380114								
20151202_175913	1	0	hc004-Avg	10	36.000000	0	1	1F2	1	0		-0.001616	-0.015344	-0.045402	-0.015241	0.023341	-0.031001	0.015429	-96.013384	0.043349	0.025663	0.836898	0.218776								
20151202_175913	1	0	hc004-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.023341	-0.031001	-0.001616	-0.015344	-0.022475	-0.015636	0.038805	-53.023140	0.021404	0.025661	0.351132	0.745492								
20151202_175913	1	0	hc004-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.045402	-0.015241	-0.020931	0.034124	-0.001616	-0.015344	0.047892	-161.443755	0.027730	0.030996	0.336680	0.609237								
20151202_175913	1	0	hc005-Avg	1	1.200000	1	0	1F1	1	0		2.750185	1.865616	0.269261	-0.618601	0.269261	-0.618601	3.323257	34.151406	0.674662	0.987395	0.018529	2.370795								
20151202_175913	1	0	hc005-Avg	2	2.400000	2	0	2F1	1	0		0.269261	-0.618601	2.750185	1.865616	0.570006	0.320260	0.674662	-66.477730	1.988536	0.684736	0.627031	0.264653								
20151202_175913	1	0	hc005-Avg	3	3.600000	3	0	3F1	1	0		0.570006	0.320260	0.269261	-0.618601	-0.235338	0.429847	0.653815	29.329631	0.582358	0.451360	0.380269	0.529705								
20151202_175913	1	0	hc005-Avg	4	4.800000	4	0	4F1	1	0		-0.235338	0.429847	0.570006	0.320260	-0.022562	0.016915	0.490054	118.700382	0.341007	0.494506	0.623767	0.451352								
20151202_175913	1	0	hc005-Avg	5	6.000000	5	0	5F1	1	0		-0.022562	0.016915	-0.235338	0.429847	0.387563	0.498537	0.028199	143.140648	0.560758	0.505840	0.998448	0.028815								
20151202_175913	1	0	hc005-Avg	6	7.200000	6	0	6F1	1	0		0.387563	0.498537	-0.022562	0.016915	-0.239275	-0.518169	0.631462	52.138452	0.299473	0.404994	0.330595	0.751225								
20151202_175913	1	0	hc005-Avg	7	8.400000	7	0	7F1	1	0		-0.239275	-0.518169	0.387563	0.498537	-0.399090	0.094755	0.570746	-114.786073	0.520824	0.438520	0.452804	0.668263								
20151202_175913	1	0	hc005-Avg	8	9.600000	8	0	8F1	1	0		-0.399090	0.094755	-0.239275	-0.518169	0.135773	0.138692	0.410185	166.643680	0.382416	0.445496	0.663931	0.756001								
20151202_175913	1	0	hc005-Avg	9	10.800000	9	0	9F1	1	0		0.135773	0.138692	-0.399090	0.094755	-0.171413	-0.005715	0.194087	45.609372	0.290847	0.163631	0.514184	0.347205								
20151202_175913	1	0	hc005-Avg	10	36.000000	0	1	1F2	1	0		-0.006481	-0.022584	-0.020153	-0.006389	0.016321	-0.009522	0.023496	-106.011446	0.020019	0.020123	0.524323	0.416454								
20151202_175913	1	0	hc005-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.016321	-0.009522	-0.006481	-0.022584	-0.015568	-0.011165	0.018896	-30.260439	0.021327	0.022074	0.700732	0.375636								
20151202_175913	1	0	hc005-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.020153	-0.006389	-0.005116	0.038306	-0.006481	-0.022584	0.021141	-162.410886	0.031071	0.030908	0.794948	0.285154								
20151202_175913	1	0	hc006-Avg	1	1.200000	1	0	1F1	1	0		3.007076	1.981045	-0.001476	-0.675334	-0.001476	-0.675334	3.600979	33.376677	0.675336	0.945883	0.008635	2.645425								
20151202_175913	1	0	hc006-Avg	2	2.400000	2	0	2F1	1	0		-0.001476	-0.675334	3.007076	1.981045	0.449325	0.613434	0.675336	-90.125257	2.180685	0.650754	0.597095	0.262758								
20151202_175913	1	0	hc006-Avg	3	3.600000	3	0	3F1	1	0		0.449325	0.613434	-0.001476	-0.675334	-0.254272	0.350749	0.760391	53.778153	0.554278	0.383144	0.182127	0.668769								
20151202_175913	1	0	hc006-Avg	4	4.800000	4	0	4F1	1	0		-0.254272	0.350749	0.449325	0.613434	0.078477	0.013712	0.433219	125.939870	0.420028	0.396773	0.566492	0.454808								
20151202_175913	1	0	hc006-Avg	5	6.000000	5	0	5F1	1	0		0.078477	0.013712	-0.254272	0.350749	0.192122	0.525013	0.079666	9.910751	0.496140	0.452460	0.984639	0.090759								
20151202_175913	1	0	hc006-Avg	6	7.200000	6	0	6F1	1	0		0.192122	0.525013	0.078477	0.013712	-0.207712	-0.520114	0.559061	69.900527	0.319861	0.368413	0.348794	0.728613								
20151202_175913	1	0	hc006-Avg	7	8.400000	7	0	7F1	1	0		-0.207712	-0.520114	0.192122	0.525013	-0.410976	0.145208	0.560056	-111.769725	0.497468	0.419882	0.436271	0.688323								
20151202_175913	1	0	hc006-Avg	8	9.600000	8	0	8F1	1	0		-0.410976	0.145208	-0.207712	-0.520114	0.039048	0.100489	0.435875	160.540423	0.333933	0.411605	0.585066	0.810097								
20151202_175913	1	0	hc006-Avg	9	10.800000	9	0	9F1	1	0		0.039048	0.100489	-0.410976	0.145208	-0.189057	-0.030444	0.107809	68.765061	0.313684	0.146018	0.766013	0.202270								
20151202_175913	1	0	hc006-Avg	10	36.000000	0	1	1F2	1	0		-0.011287	-0.019525	-0.010343	-0.013611	0.005875	-0.001541	0.022553	-120.032536	0.011584	0.018358	0.491253	0.591165								
20151202_175913	1	0	hc006-Avg	11	37.200000	1	1	1F1+1F2	1	0		0.005875	-0.001541	-0.011287	-0.019525	-0.010529	-0.004233	0.006074	-14.698760	0.016950	0.019894	0.954632	0.143274								
20151202_175913	1	0	hc006-Avg	12	34.800000	1	-1	1F1-1F2	1	0		-0.010343	-0.013611	0.030879	0.039463	-0.011287	-0.019525	0.017094	-127.231722	0.036330	0.024034	0.780551	0.264481								
20151202_175913	1	0	hc007-Avg	1	1.200000	1	0	1F1	1	0		2.820995	-0.992078	-0.868851	-0.200917	-0.868851	-0.200917	2.990356	-19.375575	0.891778	1.409282	0.147841	1.742293								
20151202_175913	1	0	hc007-Avg	2	2.400000	2	0	2F1	1	0		-0.868851	-0.200917	2.820995	-0.992078	0.163920	0.198529	0.891778	-166.979522	1.623906	0.632006	0.398102	0.300182								
20151202_175913	1	0	hc007-Avg	3	3.600000	3	0	3F1	1	0		0.163920	0.198529	-0.868851	-0.200917	-0.161807	0.072681	0.257456	50.454368	0.534580	0.374938	0.793550	0.186136								
